date,batch_size,x_dim,lookahead,time_mode,dataset,error_metric,model_name,rmse,wrmse (alpha=2),wprmse (beta=3),mae,r2
2024-10-28 20:52:25.531732,32,192,96,cyclical,slrp-ev_old,mse,FFNN_hidSize64_layers2_lagsOptiLong_dropout0.4_withBatchNorm,6515.508238077164,11427.212554812431,9765.09401679039,4817.066447138786,0.5048284530639648
2024-10-28 20:52:52.640987,32,192,96,cyclical,slrp-ev_old,mse,FFNN_hidSize64_layers2_lagsOptiLong_dropout0.4_withBatchNorm,6111.743509173393,11026.419462263584,9394.008225798609,4334.581237882376,0.5642982721328735
2024-10-28 20:53:18.517400,32,192,96,cyclical,slrp-ev_old,mse,FFNN_hidSize64_layers2_lagsOptiLong_dropout0.4_withBatchNorm,5957.048332095146,8710.422423183918,7984.857290387154,4332.956352978945,0.5860753059387207
2024-10-28 20:53:44.698865,32,192,96,cyclical,slrp-ev_old,mse,FFNN_hidSize64_layers2_lagsOptiLong_dropout0.4_withBatchNorm,6665.206075012684,11905.585362315178,10107.933578193188,4891.492588818073,0.481813371181488
2024-10-28 20:54:10.399310,32,192,96,cyclical,slrp-ev_old,mse,FFNN_hidSize64_layers2_lagsOptiLong_dropout0.4_withBatchNorm,6494.10381257534,12041.161130070686,10013.937715888023,4461.529292017221,0.508076548576355
2024-10-28 20:54:36.332316,32,192,96,cyclical,slrp-ev_old,mse,FFNN_hidSize64_layers2_lagsOptiLong_dropout0.4_withBatchNorm,6053.900813162327,10873.594540953636,9202.52414882183,4340.407750308514,0.5725064277648926
2024-10-28 20:55:03.940881,32,192,96,cyclical,slrp-ev_old,mse,FFNN_hidSize64_layers2_lagsOptiLong_dropout0.4_withBatchNorm,5847.66172170639,9856.991679370403,8526.815308630466,4192.073743194342,0.6011371612548828
2024-10-28 20:55:31.141644,32,192,96,cyclical,slrp-ev_old,mse,FFNN_hidSize64_layers2_lagsOptiLong_dropout0.4_withBatchNorm,6107.171385586262,8276.868137717247,7931.683611571789,4475.182925909758,0.5649498701095581
2024-10-28 20:55:56.899236,32,192,96,cyclical,slrp-ev_old,mse,FFNN_hidSize64_layers2_lagsOptiLong_dropout0.4_withBatchNorm,5944.420794546604,10238.75877082348,8873.937009871006,4237.9260294139385,0.5878282785415649
2024-10-28 20:56:22.954066,32,192,96,cyclical,slrp-ev_old,mse,FFNN_hidSize64_layers2_lagsOptiLong_dropout0.4_withBatchNorm,5912.339948117733,10502.994612157345,8883.689107596874,4198.106938749552,0.5922651290893555
2024-10-28 20:56:48.684023,32,192,96,cyclical,slrp-ev_old,mse,FFNN_hidSize64_layers2_lagsOptiLong_dropout0.4_withBatchNorm,5773.411591798067,8952.335092425346,8058.546622395515,4192.323645055294,0.6112019419670105
2024-10-25 19:55:24.414658,32,192,96,cyclical,slrp-ev_old,mse,LSTM_hidSize32_lstmLayers1_dropout0.4_withBatchNorm,6076.053898632526,11314.114013016224,9426.600726246834,4091.470294445753,0.5693719387054443
2024-10-25 19:56:09.022792,32,192,96,cyclical,slrp-ev_old,mse,LSTM_hidSize32_lstmLayers1_dropout0.4_withBatchNorm,6132.197819650173,10989.074295461178,9296.1589255929,4048.2899017632008,0.5613770484924316
2024-10-25 19:56:52.416009,32,192,96,cyclical,slrp-ev_old,mse,LSTM_hidSize32_lstmLayers1_dropout0.4_withBatchNorm,5870.684758424759,9705.229102373123,8506.739510595798,3980.186590850353,0.5979902744293213
2024-10-25 19:57:35.856008,32,192,96,cyclical,slrp-ev_old,mse,LSTM_hidSize32_lstmLayers1_dropout0.4_withBatchNorm,5754.865876287222,10094.531588852406,8422.05240547657,3845.517022311688,0.6136958003044128
2024-10-25 19:58:19.491834,32,192,96,cyclical,slrp-ev_old,mse,LSTM_hidSize32_lstmLayers1_dropout0.4_withBatchNorm,5695.157455503941,10060.664832890034,8549.153816401958,3984.396931827068,0.6216701865196228
2024-10-25 19:59:03.366861,32,192,96,cyclical,slrp-ev_old,mse,LSTM_hidSize32_lstmLayers1_dropout0.4_withBatchNorm,5824.374493062496,9542.453416585922,8371.383321881294,3972.3629547655582,0.6043076515197754
2024-10-25 19:59:47.022169,32,192,96,cyclical,slrp-ev_old,mse,LSTM_hidSize32_lstmLayers1_dropout0.4_withBatchNorm,5665.801131874323,9536.892838776112,8290.245032310486,3954.0427434444414,0.625560462474823
2024-10-24 17:24:59.369734,32,192,96,cyclical,slrp-ev_old,mse,TCN_hidSize16_layers6_kernelSize3_dropout0.2,6513.7808829545975,10990.52909374237,9540.673780739307,4149.264195114374,0.5050909519195557
2024-10-24 17:26:53.407011,32,192,96,cyclical,slrp-ev_old,mse,TCN_hidSize16_layers6_kernelSize3_dropout0.2,6470.684836506844,11924.280949234962,9885.803934931757,4186.418711543083,0.5116180777549744
2024-10-24 17:28:49.803833,32,192,96,cyclical,slrp-ev_old,mse,TCN_hidSize16_layers6_kernelSize3_dropout0.2,6723.488626182079,10846.556344628334,9595.432611107826,4483.554463982582,0.4727113246917724
